rate,city,date,state
18.23,Delhi,2002-06-16,Delhi
20.06,Chennai,2002-07-01,Tamil Nadu
18.23,Delhi,2002-07-01,Delhi
20.06,Chennai,2002-08-01,Tamil Nadu
18.23,Delhi,2002-08-01,Delhi
18.43,Kolkata,2002-08-16,West Bengal
19.86,Chennai,2002-08-16,Tamil Nadu
22.95,Mumbai,2002-08-16,Maharashtra
18.05,Delhi,2002-08-16,Delhi
20.18,Chennai,2002-09-01,Tamil Nadu
23.29,Mumbai,2002-09-01,Maharashtra
19.72,Kolkata,2002-09-01,West Bengal
18.34,Delhi,2002-09-01,Delhi
23.69,Mumbai,2002-09-16,Maharashtra
20.55,Chennai,2002-09-16,Tamil Nadu
18.68,Delhi,2002-09-16,Delhi
20.06,Kolkata,2002-09-16,West Bengal
20.81,Chennai,2002-10-01,Tamil Nadu
23.97,Mumbai,2002-10-01,Maharashtra
20.3,Kolkata,2002-10-01,West Bengal
18.91,Delhi,2002-10-01,Delhi
20.62,Kolkata,2002-10-17,West Bengal
24.54,Mumbai,2002-10-17,Maharashtra
19.23,Delhi,2002-10-17,Delhi
21.16,Chennai,2002-10-17,Tamil Nadu
19.25,Delhi,2002-11-16,Delhi
18.57,Delhi,2002-11-16,Delhi
19.96,Kolkata,2002-11-16,West Bengal
21.18,Chennai,2002-11-16,Tamil Nadu
20.43,Chennai,2002-11-16,Tamil Nadu
23.75,Mumbai,2002-11-16,Maharashtra
24.56,Mumbai,2002-11-16,Maharashtra
20.64,Kolkata,2002-11-16,West Bengal
18.06,Delhi,2002-12-01,Delhi
23.03,Mumbai,2002-12-01,Maharashtra
19.96,Kolkata,2002-12-01,West Bengal
19.83,Chennai,2002-12-01,Tamil Nadu
19.47,Delhi,2003-01-01,Delhi
21.38,Chennai,2003-01-01,Tamil Nadu
24.72,Mumbai,2003-01-01,Maharashtra
20.45,Kolkata,2003-01-01,West Bengal
24.24,Mumbai,2003-01-03,Maharashtra
19.07,Delhi,2003-01-03,Delhi
19.43,Kolkata,2003-01-03,West Bengal
20.93,Chennai,2003-01-03,Tamil Nadu
19.84,Delhi,2003-02-01,Delhi
20.86,Kolkata,2003-02-01,West Bengal
25.16,Mumbai,2003-02-01,Maharashtra
21.78,Chennai,2003-02-01,Tamil Nadu
21.21,Delhi,2003-03-01,Delhi
26.79,Mumbai,2003-03-01,Maharashtra
23.28,Chennai,2003-03-01,Tamil Nadu
21.23,Kolkata,2003-03-01,West Bengal
24.28,Chennai,2003-03-16,Tamil Nadu
27.88,Mumbai,2003-03-16,Maharashtra
22.6,Kolkata,2003-03-16,West Bengal
22.12,Delhi,2003-03-16,Delhi
24.28,Chennai,2003-04-01,Tamil Nadu
27.88,Mumbai,2003-04-01,Maharashtra
23.51,Kolkata,2003-04-01,West Bengal
22.12,Delhi,2003-04-01,Delhi
26.7,Mumbai,2003-04-16,Maharashtra
21.12,Delhi,2003-04-16,Delhi
23.51,Kolkata,2003-04-16,West Bengal
23.55,Chennai,2003-04-16,Tamil Nadu
20.12,Delhi,2003-04-26,Delhi
22.43,Chennai,2003-04-26,Tamil Nadu
25.5,Mumbai,2003-04-26,Maharashtra
22.52,Kolkata,2003-04-26,West Bengal
24.38,Mumbai,2003-05-16,Maharashtra
19.18,Delhi,2003-05-16,Delhi
21.38,Chennai,2003-05-16,Tamil Nadu
20.57,Kolkata,2003-05-16,West Bengal
20.47,Kolkata,2003-06-01,West Bengal
24.26,Mumbai,2003-06-01,Maharashtra
21.27,Chennai,2003-06-01,Tamil Nadu
19.08,Delhi,2003-06-01,Delhi
22.53,Kolkata,2003-08-31,West Bengal
20.33,Delhi,2003-08-31,Delhi
25.75,Mumbai,2003-08-31,Maharashtra
22.67,Chennai,2003-08-31,Tamil Nadu
25.03,Mumbai,2003-10-16,Maharashtra
22.0,Chennai,2003-10-16,Tamil Nadu
19.73,Delhi,2003-10-16,Delhi
21.9,Kolkata,2003-10-16,West Bengal
23.11,Chennai,2003-12-12,Tamil Nadu
22.94,Kolkata,2003-12-12,West Bengal
26.23,Mumbai,2003-12-12,Maharashtra
20.73,Delhi,2003-12-12,Delhi
21.73,Delhi,2003-12-31,Delhi
24.23,Chennai,2003-12-31,Tamil Nadu
23.99,Kolkata,2003-12-31,West Bengal
27.43,Mumbai,2003-12-31,Maharashtra
25.35,Chennai,2004-06-15,Tamil Nadu
22.74,Delhi,2004-06-15,Delhi
25.03,Kolkata,2004-06-15,West Bengal
28.62,Mumbai,2004-06-15,Maharashtra
30.31,Mumbai,2004-07-31,Maharashtra
26.93,Chennai,2004-07-31,Tamil Nadu
24.16,Delhi,2004-07-31,Delhi
26.51,Kolkata,2004-07-31,West Bengal
29.3,Chennai,2004-11-04,Tamil Nadu
28.72,Kolkata,2004-11-04,West Bengal
32.83,Mumbai,2004-11-04,Maharashtra
26.28,Delhi,2004-11-04,Delhi
29.3,Chennai,2005-04-01,Tamil Nadu
28.22,Delhi,2005-04-01,Delhi
28.72,Kolkata,2005-04-01,West Bengal
32.83,Mumbai,2005-04-01,Maharashtra
26.45,Delhi,2005-04-05,Delhi
29.3,Chennai,2005-04-05,Tamil Nadu
28.72,Kolkata,2005-04-05,West Bengal
32.83,Mumbai,2005-04-05,Maharashtra
31.51,Chennai,2005-06-20,Tamil Nadu
35.2,Mumbai,2005-06-20,Maharashtra
30.8,Kolkata,2005-06-20,West Bengal
28.45,Delhi,2005-06-20,Delhi
30.45,Delhi,2005-09-06,Delhi
37.57,Mumbai,2005-09-06,Maharashtra
32.87,Kolkata,2005-09-06,West Bengal
33.72,Chennai,2005-09-06,Tamil Nadu
34.96,Kolkata,2006-06-05,West Bengal
32.47,Delhi,2006-06-05,Delhi
35.95,Chennai,2006-06-05,Tamil Nadu
39.96,Mumbai,2006-06-05,Maharashtra
34.96,Kolkata,2006-06-10,West Bengal
35.51,Chennai,2006-06-10,Tamil Nadu
39.96,Mumbai,2006-06-10,Maharashtra
32.47,Delhi,2006-06-10,Delhi
35.51,Chennai,2006-06-20,Tamil Nadu
32.25,Delhi,2006-06-20,Delhi
39.68,Mumbai,2006-06-20,Maharashtra
34.96,Kolkata,2006-06-20,West Bengal
37.57,Mumbai,2006-09-06,Maharashtra
33.72,Chennai,2006-09-06,Tamil Nadu
32.87,Kolkata,2006-09-06,West Bengal
30.45,Delhi,2006-09-06,Delhi
38.5,Mumbai,2006-11-30,Maharashtra
33.92,Kolkata,2006-11-30,West Bengal
31.25,Delhi,2006-11-30,Delhi
34.41,Chennai,2006-11-30,Tamil Nadu
31.25,Delhi,2006-12-01,Delhi
34.41,Chennai,2006-12-01,Tamil Nadu
33.92,Kolkata,2006-12-01,West Bengal
36.11,Mumbai,2006-12-01,Maharashtra
32.89,Kolkata,2007-02-16,West Bengal
33.32,Chennai,2007-02-16,Tamil Nadu
34.97,Mumbai,2007-02-16,Maharashtra
30.25,Delhi,2007-02-16,Delhi
33.31,Chennai,2007-03-01,Tamil Nadu
32.88,Kolkata,2007-03-01,West Bengal
30.25,Delhi,2007-03-01,Delhi
34.96,Mumbai,2007-03-01,Maharashtra
30.25,Delhi,2007-05-16,Delhi
32.87,Kolkata,2007-05-16,West Bengal
34.94,Mumbai,2007-05-16,Maharashtra
33.3,Chennai,2007-05-16,Tamil Nadu
33.3,Chennai,2007-06-06,Tamil Nadu
30.76,Delhi,2007-06-06,Delhi
32.87,Kolkata,2007-06-06,West Bengal
34.94,Mumbai,2007-06-06,Maharashtra
34.4,Chennai,2008-02-15,Tamil Nadu
36.08,Mumbai,2008-02-15,Maharashtra
31.76,Delhi,2008-02-15,Delhi
33.92,Kolkata,2008-02-15,West Bengal
33.96,Kolkata,2008-05-24,West Bengal
36.12,Mumbai,2008-05-24,Maharashtra
31.8,Delhi,2008-05-24,Delhi
34.44,Chennai,2008-05-24,Tamil Nadu
34.8,Delhi,2008-06-06,Delhi
37.73,Chennai,2008-06-06,Tamil Nadu
39.54,Mumbai,2008-06-06,Maharashtra
35.81,Kolkata,2008-06-06,West Bengal
34.86,Delhi,2008-07-16,Delhi
37.13,Chennai,2008-07-16,Tamil Nadu
38.93,Mumbai,2008-07-16,Maharashtra
35.81,Kolkata,2008-07-16,West Bengal
34.86,Delhi,2008-11-06,Delhi
35.81,Kolkata,2008-11-06,West Bengal
37.13,Chennai,2008-11-06,Tamil Nadu
38.93,Mumbai,2008-11-06,Maharashtra
32.86,Delhi,2008-12-06,Delhi
34.98,Chennai,2008-12-06,Tamil Nadu
33.92,Kolkata,2008-12-06,West Bengal
36.69,Mumbai,2008-12-06,Maharashtra
34.45,Mumbai,2009-01-29,Maharashtra
32.82,Chennai,2009-01-29,Tamil Nadu
30.86,Delhi,2009-01-29,Delhi
33.21,Kolkata,2009-01-29,West Bengal
35.03,Kolkata,2009-07-02,West Bengal
34.98,Chennai,2009-07-02,Tamil Nadu
32.87,Delhi,2009-07-02,Delhi
36.7,Mumbai,2009-07-02,Maharashtra
39.6,Mumbai,2010-02-27,Maharashtra
37.73,Kolkata,2010-02-27,West Bengal
37.78,Chennai,2010-02-27,Tamil Nadu
35.47,Delhi,2010-02-27,Delhi
37.99,Kolkata,2010-04-01,West Bengal
38.05,Chennai,2010-04-01,Tamil Nadu
39.88,Mumbai,2010-04-01,Maharashtra
38.1,Delhi,2010-04-01,Delhi
40.1,Delhi,2010-06-26,Delhi
41.98,Mumbai,2010-06-26,Maharashtra
40.07,Chennai,2010-06-26,Tamil Nadu
39.94,Kolkata,2010-06-26,West Bengal
37.75,Delhi,2010-09-08,Delhi
42.06,Mumbai,2010-09-08,Maharashtra
40.16,Chennai,2010-09-08,Tamil Nadu
40.02,Kolkata,2010-09-08,West Bengal
42.06,Mumbai,2010-11-02,Maharashtra
37.75,Delhi,2010-11-02,Delhi
40.16,Chennai,2010-11-02,Tamil Nadu
40.06,Kolkata,2010-11-02,West Bengal
43.57,Kolkata,2011-06-25,West Bengal
46.06,Bengaluru,2011-06-25,Karnataka
41.12,Delhi,2011-06-25,Delhi
43.8,Chennai,2011-06-25,Tamil Nadu
45.84,Mumbai,2011-06-25,Maharashtra
45.08,Hyderabad,2011-07-01,Telangana
41.29,Delhi,2011-07-01,Delhi
45.99,Mumbai,2011-07-01,Maharashtra
43.74,Kolkata,2011-07-01,West Bengal
46.21,Bengaluru,2011-07-01,Karnataka
43.95,Chennai,2011-07-01,Tamil Nadu
40.91,Delhi,2011-10-01,Delhi
41.28,Delhi,2012-06-18,Delhi
44.94,Hyderabad,2012-07-25,Telangana
46.17,Mumbai,2012-07-25,Maharashtra
43.83,Chennai,2012-07-25,Tamil Nadu
41.29,Delhi,2012-07-25,Delhi
44.98,Bengaluru,2012-07-25,Karnataka
